Category: All categories

Week,bitcoin: (Worldwide)
2018-03-18,23
2018-03-25,22
2018-04-01,22
2018-04-08,19
2018-04-15,18
2018-04-22,18
2018-04-29,16
2018-05-06,16
2018-05-13,15
2018-05-20,14
2018-05-27,13
2018-06-03,12
2018-06-10,16
2018-06-17,13
2018-06-24,14
2018-07-01,12
2018-07-08,11
2018-07-15,14
2018-07-22,15
2018-07-29,13
2018-08-05,14
2018-08-12,13
2018-08-19,13
2018-08-26,12
2018-09-02,13
2018-09-09,12
2018-09-16,11
2018-09-23,11
2018-09-30,10
2018-10-07,10
2018-10-14,10
2018-10-21,9
2018-10-28,9
2018-11-04,10
2018-11-11,13
2018-11-18,17
2018-11-25,18
2018-12-02,14
2018-12-09,13
2018-12-16,15
2018-12-23,12
2018-12-30,11
2019-01-06,11
2019-01-13,10
2019-01-20,9
2019-01-27,9
2019-02-03,10
2019-02-10,9
2019-02-17,10
2019-02-24,9
2019-03-03,9
2019-03-10,9
2019-03-17,8
2019-03-24,8
2019-03-31,15
2019-04-07,12
2019-04-14,11
2019-04-21,12
2019-04-28,11
2019-05-05,15
2019-05-12,23
2019-05-19,18
2019-05-26,18
2019-06-02,15
2019-06-09,14
2019-06-16,20
2019-06-23,32
2019-06-30,21
2019-07-07,20
2019-07-14,20
2019-07-21,17
2019-07-28,15
2019-08-04,18
2019-08-11,16
2019-08-18,14
2019-08-25,13
2019-09-01,14
2019-09-08,12
2019-09-15,11
2019-09-22,16
2019-09-29,12
2019-10-06,12
2019-10-13,11
2019-10-20,13
2019-10-27,13
2019-11-03,11
2019-11-10,10
2019-11-17,12
2019-11-24,13
2019-12-01,10
2019-12-08,10
2019-12-15,12
2019-12-22,10
2019-12-29,11
2020-01-05,13
2020-01-12,13
2020-01-19,12
2020-01-26,13
2020-02-02,14
2020-02-09,16
2020-02-16,14
2020-02-23,14
2020-03-01,13
2020-03-08,23
2020-03-15,25
2020-03-22,19
2020-03-29,15
2020-04-05,16
2020-04-12,15
2020-04-19,16
2020-04-26,20
2020-05-03,22
2020-05-10,25
2020-05-17,18
2020-05-24,16
2020-05-31,16
2020-06-07,14
2020-06-14,13
2020-06-21,13
2020-06-28,12
2020-07-05,12
2020-07-12,14
2020-07-19,13
2020-07-26,20
2020-08-02,19
2020-08-09,17
2020-08-16,16
2020-08-23,14
2020-08-30,15
2020-09-06,13
2020-09-13,12
2020-09-20,11
2020-09-27,11
2020-10-04,11
2020-10-11,11
2020-10-18,16
2020-10-25,16
2020-11-01,19
2020-11-08,20
2020-11-15,27
2020-11-22,30
2020-11-29,26
2020-12-06,21
2020-12-13,33
2020-12-20,34
2020-12-27,55
2021-01-03,80
2021-01-10,82
2021-01-17,51
2021-01-24,48
2021-01-31,42
2021-02-07,75
2021-02-14,71
2021-02-21,78
2021-02-28,54
2021-03-07,48
2021-03-14,50
2021-03-21,45
2021-03-28,44
2021-04-04,41
2021-04-11,51
2021-04-18,66
2021-04-25,49
2021-05-02,43
2021-05-09,56
2021-05-16,100
2021-05-23,68
2021-05-30,49
2021-06-06,52
2021-06-13,39
2021-06-20,47
2021-06-27,36
2021-07-04,29
2021-07-11,29
2021-07-18,33
2021-07-25,39
2021-08-01,31
2021-08-08,35
2021-08-15,31
2021-08-22,32
2021-08-29,28
2021-09-05,37
2021-09-12,26
2021-09-19,34
2021-09-26,27
2021-10-03,33
2021-10-10,37
2021-10-17,46
2021-10-24,36
2021-10-31,30
2021-11-07,36
2021-11-14,36
2021-11-21,35
2021-11-28,35
2021-12-05,39
2021-12-12,33
2021-12-19,31
2021-12-26,30
2022-01-02,39
2022-01-09,38
2022-01-16,40
2022-01-23,51
2022-01-30,38
2022-02-06,36
2022-02-13,31
2022-02-20,40
2022-02-27,37
2022-03-06,31
2022-03-13,27
2022-03-20,27
2022-03-27,30
2022-04-03,25
2022-04-10,24
2022-04-17,22
2022-04-24,22
2022-05-01,24
2022-05-08,55
2022-05-15,35
2022-05-22,29
2022-05-29,26
2022-06-05,25
2022-06-12,65
2022-06-19,49
2022-06-26,36
2022-07-03,33
2022-07-10,29
2022-07-17,30
2022-07-24,26
2022-07-31,23
2022-08-07,23
2022-08-14,22
2022-08-21,21
2022-08-28,22
2022-09-04,22
2022-09-11,22
2022-09-18,23
2022-09-25,21
2022-10-02,18
2022-10-09,18
2022-10-16,17
2022-10-23,17
2022-10-30,18
2022-11-06,32
2022-11-13,30
2022-11-20,23
2022-11-27,20
2022-12-04,18
2022-12-11,18
2022-12-18,18
2022-12-25,18
2023-01-01,18
2023-01-08,20
2023-01-15,23
2023-01-22,21
2023-01-29,21
2023-02-05,19
2023-02-12,19
2023-02-19,19
2023-02-26,18
2023-03-05,18
2023-03-12,28
