Category: All categories

Week,bitcoin price: (Worldwide)
2018-03-18,23
2018-03-25,23
2018-04-01,23
2018-04-08,20
2018-04-15,17
2018-04-22,18
2018-04-29,15
2018-05-06,14
2018-05-13,13
2018-05-20,12
2018-05-27,12
2018-06-03,10
2018-06-10,16
2018-06-17,12
2018-06-24,14
2018-07-01,12
2018-07-08,10
2018-07-15,12
2018-07-22,13
2018-07-29,11
2018-08-05,12
2018-08-12,12
2018-08-19,10
2018-08-26,10
2018-09-02,11
2018-09-09,10
2018-09-16,8
2018-09-23,8
2018-09-30,6
2018-10-07,7
2018-10-14,7
2018-10-21,5
2018-10-28,5
2018-11-04,5
2018-11-11,8
2018-11-18,15
2018-11-25,16
2018-12-02,13
2018-12-09,13
2018-12-16,13
2018-12-23,11
2018-12-30,9
2019-01-06,8
2019-01-13,7
2019-01-20,6
2019-01-27,6
2019-02-03,7
2019-02-10,6
2019-02-17,7
2019-02-24,6
2019-03-03,5
2019-03-10,5
2019-03-17,5
2019-03-24,5
2019-03-31,11
2019-04-07,9
2019-04-14,8
2019-04-21,9
2019-04-28,7
2019-05-05,11
2019-05-12,20
2019-05-19,14
2019-05-26,14
2019-06-02,12
2019-06-09,10
2019-06-16,17
2019-06-23,28
2019-06-30,16
2019-07-07,18
2019-07-14,16
2019-07-21,13
2019-07-28,11
2019-08-04,14
2019-08-11,12
2019-08-18,10
2019-08-25,9
2019-09-01,9
2019-09-08,8
2019-09-15,7
2019-09-22,11
2019-09-29,9
2019-10-06,8
2019-10-13,7
2019-10-20,9
2019-10-27,10
2019-11-03,8
2019-11-10,6
2019-11-17,8
2019-11-24,9
2019-12-01,8
2019-12-08,6
2019-12-15,8
2019-12-22,6
2019-12-29,7
2020-01-05,9
2020-01-12,9
2020-01-19,8
2020-01-26,9
2020-02-02,10
2020-02-09,11
2020-02-16,9
2020-02-23,10
2020-03-01,9
2020-03-08,19
2020-03-15,21
2020-03-22,14
2020-03-29,11
2020-04-05,11
2020-04-12,10
2020-04-19,10
2020-04-26,13
2020-05-03,15
2020-05-10,17
2020-05-17,12
2020-05-24,10
2020-05-31,11
2020-06-07,10
2020-06-14,8
2020-06-21,8
2020-06-28,7
2020-07-05,7
2020-07-12,7
2020-07-19,7
2020-07-26,14
2020-08-02,14
2020-08-09,12
2020-08-16,11
2020-08-23,9
2020-08-30,9
2020-09-06,9
2020-09-13,7
2020-09-20,6
2020-09-27,5
2020-10-04,6
2020-10-11,7
2020-10-18,11
2020-10-25,12
2020-11-01,14
2020-11-08,15
2020-11-15,22
2020-11-22,24
2020-11-29,22
2020-12-06,17
2020-12-13,27
2020-12-20,30
2020-12-27,45
2021-01-03,75
2021-01-10,79
2021-01-17,49
2021-01-24,46
2021-01-31,40
2021-02-07,70
2021-02-14,62
2021-02-21,77
2021-02-28,51
2021-03-07,49
2021-03-14,46
2021-03-21,41
2021-03-28,38
2021-04-04,35
2021-04-11,47
2021-04-18,57
2021-04-25,43
2021-05-02,36
2021-05-09,53
2021-05-16,100
2021-05-23,70
2021-05-30,50
2021-06-06,45
2021-06-13,36
2021-06-20,46
2021-06-27,32
2021-07-04,26
2021-07-11,24
2021-07-18,31
2021-07-25,35
2021-08-01,29
2021-08-08,34
2021-08-15,28
2021-08-22,27
2021-08-29,24
2021-09-05,32
2021-09-12,24
2021-09-19,32
2021-09-26,24
2021-10-03,29
2021-10-10,33
2021-10-17,44
2021-10-24,34
2021-10-31,29
2021-11-07,33
2021-11-14,37
2021-11-21,33
2021-11-28,33
2021-12-05,40
2021-12-12,36
2021-12-19,29
2021-12-26,28
2022-01-02,35
2022-01-09,34
2022-01-16,38
2022-01-23,52
2022-01-30,36
2022-02-06,32
2022-02-13,27
2022-02-20,37
2022-02-27,33
2022-03-06,28
2022-03-13,23
2022-03-20,22
2022-03-27,23
2022-04-03,20
2022-04-10,19
2022-04-17,17
2022-04-24,18
2022-05-01,20
2022-05-08,58
2022-05-15,37
2022-05-22,28
2022-05-29,23
2022-06-05,24
2022-06-12,78
2022-06-19,54
2022-06-26,37
2022-07-03,34
2022-07-10,32
2022-07-17,31
2022-07-24,25
2022-07-31,22
2022-08-07,21
2022-08-14,21
2022-08-21,20
2022-08-28,21
2022-09-04,21
2022-09-11,21
2022-09-18,23
2022-09-25,20
2022-10-02,16
2022-10-09,17
2022-10-16,14
2022-10-23,15
2022-10-30,15
2022-11-06,35
2022-11-13,33
2022-11-20,23
2022-11-27,20
2022-12-04,17
2022-12-11,18
2022-12-18,16
2022-12-25,16
2023-01-01,14
2023-01-08,17
2023-01-15,21
2023-01-22,20
2023-01-29,19
2023-02-05,16
2023-02-12,17
2023-02-19,16
2023-02-26,15
2023-03-05,16
2023-03-12,27
